date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:43	131061/131061	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2012:55:42%20GMT	https://kineticagency.xyz/	./site-copy/kineticagency.xyz/index.html	(from )
15:55:43	386/386	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Dec%202025%2012:55:42%20GMT	https://kineticagency.xyz/robots.txt		(from )
15:55:43	34494/34494	---M--	200	added ('OK')	image/x-icon	etag:%2266152b7c-86be%22	https://kineticagency.xyz/favicon.ico	./site-copy/kineticagency.xyz/favicon.ico	(from https://kineticagency.xyz/)
15:55:45	3417/3417	---MCZ	200	added ('OK')	image/png	etag:W/%2266152b7d-d59%22	https://kineticagency.xyz/wp-content/themes/KINETICAGENCY/assets/img/favicon/apple-touch-icon.png	./site-copy/kineticagency.xyz/wp-content/themes/KINETICAGENCY/assets/img/favicon/apple-touch-icon.png	(from https://kineticagency.xyz/)
15:55:45	1294/1294	---M--	200	added ('OK')	application/octet-stream	etag:%2266152b7d-50e%22	https://kineticagency.xyz/wp-content/themes/KINETICAGENCY/manifest.webmanifest	./site-copy/kineticagency.xyz/wp-content/themes/KINETICAGENCY/manifest.webmanifest	(from https://kineticagency.xyz/)
15:55:48	859/859	---MC-	200	added ('OK')	application/rss+xml	etag:%22f18987b11068b2cc02796793df3ed622%22	https://kineticagency.xyz/feed/	./site-copy/kineticagency.xyz/feed/index.html	(from https://kineticagency.xyz/)
15:55:49	2070/2070	---MCZ	200	added ('OK')	application/json	date:Wed,%2024%20Dec%202025%2012:55:48%20GMT	https://kineticagency.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkineticagency.xyz%2F	./site-copy/kineticagency.xyz/wp-json/oembed/1.0/embed2086.json	(from https://kineticagency.xyz/)
15:55:49	2488056/2488056	---M--	200	added ('OK')	application/font-woff	etag:%2266152b7d-25f6f8%22	https://kineticagency.xyz/wp-content/themes/KINETICAGENCY/assets/fonts/DelaGothicOne-Regular.woff	./site-copy/kineticagency.xyz/wp-content/themes/KINETICAGENCY/assets/fonts/DelaGothicOne-Regular.woff	(from https://kineticagency.xyz/)
15:55:49	1204996/1204996	---M--	200	added ('OK')	application/octet-stream	etag:%2266152b7d-126304%22	https://kineticagency.xyz/wp-content/themes/KINETICAGENCY/assets/fonts/DelaGothicOne-Regular.woff2	./site-copy/kineticagency.xyz/wp-content/themes/KINETICAGENCY/assets/fonts/DelaGothicOne-Regular.woff2	(from https://kineticagency.xyz/)
15:55:49	753/753	---MC-	200	added ('OK')	application/rss+xml	etag:%22f18987b11068b2cc02796793df3ed622%22	https://kineticagency.xyz/comments/feed/	./site-copy/kineticagency.xyz/comments/feed/index.html	(from https://kineticagency.xyz/)
